time,antenna,tagid,rssi
2021-08-30 15:30:43,4,52666678,-69
2021-08-30 15:31:18,4,52666678,-69
2021-08-30 15:51:08,4,52666678,-69
2021-08-30 15:56:24,4,52666678,-69
2021-08-30 15:59:19,4,52666678,-69
2021-08-30 16:06:44,4,52666678,-69
2021-08-30 16:08:12,4,52666678,-69
2021-08-30 16:43:46,4,52666678,-69
2021-08-30 16:46:30,1,52666678,-69
2021-08-30 16:46:30,4,52666678,-69
2021-08-30 16:53:44,4,52666678,-69
2021-08-30 16:54:57,4,52666678,-69
2021-08-30 14:24:48,4,52666678,-70
2021-08-30 14:25:21,4,52666678,-70
2021-08-30 14:35:07,4,52666678,-70
2021-08-30 14:35:11,4,52666678,-70
2021-08-30 14:42:57,4,52666678,-70
2021-08-30 14:45:06,2,52666678,-70
2021-08-30 14:48:20,4,52666678,-70
2021-08-30 14:48:59,4,52666678,-70
2021-08-30 14:49:29,2,52666678,-70
2021-08-30 14:50:35,4,52666678,-70
2021-08-30 14:51:20,4,52666678,-70
2021-08-30 14:51:24,4,52666678,-70
2021-08-30 14:52:20,1,52666678,-70
2021-08-30 14:57:05,4,52666678,-70
2021-08-30 14:57:06,4,52666678,-70
2021-08-30 14:58:11,4,52666678,-70
2021-08-30 14:58:46,2,52666678,-70
2021-08-30 14:59:25,4,52666678,-70
2021-08-30 15:02:18,4,52666678,-70
2021-08-30 15:03:03,4,52666678,-70
2021-08-30 15:04:03,4,52666678,-70
2021-08-30 15:07:21,4,52666678,-70
2021-08-30 15:07:27,4,52666678,-70
2021-08-30 15:08:48,4,52666678,-70
2021-08-30 15:08:59,4,52666678,-70
2021-08-30 15:11:47,4,52666678,-70
2021-08-30 15:14:54,4,52666678,-70
2021-08-30 15:15:13,4,52666678,-70
2021-08-30 15:15:34,4,52666678,-70
2021-08-30 15:16:06,4,52666678,-70
2021-08-30 15:16:26,4,52666678,-70
2021-08-30 15:16:28,4,52666678,-70
2021-08-30 15:19:09,4,52666678,-70
2021-08-30 15:19:54,4,52666678,-70
2021-08-30 15:24:58,4,52666678,-70
2021-08-30 15:27:44,4,52666678,-70
2021-08-30 15:27:52,2,52666678,-70
2021-08-30 15:28:13,4,52666678,-70
2021-08-30 15:30:02,4,52666678,-70
2021-08-30 15:31:41,4,52666678,-70
2021-08-30 15:37:05,4,52666678,-70
2021-08-30 15:37:44,4,52666678,-70
2021-08-30 15:37:50,4,52666678,-70
2021-08-30 16:14:17,4,52666678,-70
2021-08-30 16:42:27,4,52666678,-70
2021-08-30 16:43:17,4,52666678,-70
2021-08-30 16:52:35,4,52666678,-70
2021-08-30 16:57:20,1,52666678,-70
2021-08-30 14:24:38,4,52666678,-71
2021-08-30 14:24:43,4,52666678,-71
2021-08-30 14:24:47,4,52666678,-71
2021-08-30 14:24:50,4,52666678,-71
2021-08-30 14:25:30,4,52666678,-71
2021-08-30 14:29:09,4,52666678,-71
2021-08-30 14:29:19,4,52666678,-71
2021-08-30 14:37:52,4,52666678,-71
2021-08-30 14:42:55,4,52666678,-71
2021-08-30 14:45:26,2,52666678,-71
2021-08-30 14:45:36,4,52666678,-71
2021-08-30 14:46:12,4,52666678,-71
2021-08-30 14:46:17,2,52666678,-71
2021-08-30 14:46:20,4,52666678,-71
2021-08-30 14:46:43,4,52666678,-71
2021-08-30 14:48:33,4,52666678,-71
2021-08-30 14:49:20,4,52666678,-71
2021-08-30 14:50:36,4,52666678,-71
2021-08-30 14:50:48,4,52666678,-71
2021-08-30 14:50:56,4,52666678,-71
2021-08-30 14:50:58,4,52666678,-71
2021-08-30 14:51:04,4,52666678,-71
2021-08-30 14:51:06,4,52666678,-71
2021-08-30 14:53:08,4,52666678,-71
2021-08-30 14:54:21,4,52666678,-71
2021-08-30 14:54:30,4,52666678,-71
2021-08-30 14:54:36,4,52666678,-71
2021-08-30 14:54:50,4,52666678,-71
2021-08-30 14:54:57,4,52666678,-71
2021-08-30 14:55:01,4,52666678,-71
2021-08-30 14:56:12,4,52666678,-71
2021-08-30 14:56:51,1,52666678,-71
2021-08-30 14:56:56,2,52666678,-71
2021-08-30 14:57:12,4,52666678,-71
2021-08-30 14:57:43,4,52666678,-71
2021-08-30 14:58:00,4,52666678,-71
2021-08-30 14:58:09,4,52666678,-71
2021-08-30 14:58:31,4,52666678,-71
2021-08-30 14:58:55,4,52666678,-71
2021-08-30 14:59:11,4,52666678,-71
2021-08-30 14:59:18,4,52666678,-71
2021-08-30 14:59:42,4,52666678,-71
2021-08-30 14:59:54,4,52666678,-71
2021-08-30 14:59:59,4,52666678,-71
2021-08-30 15:00:55,4,52666678,-71
2021-08-30 15:02:42,4,52666678,-71
2021-08-30 15:03:57,2,52666678,-71
2021-08-30 15:04:47,4,52666678,-71
2021-08-30 15:06:03,4,52666678,-71
2021-08-30 15:07:29,4,52666678,-71
2021-08-30 15:10:05,4,52666678,-71
2021-08-30 15:10:41,4,52666678,-71
2021-08-30 15:12:35,4,52666678,-71
2021-08-30 15:12:36,4,52666678,-71
2021-08-30 15:14:31,4,52666678,-71
2021-08-30 15:14:56,4,52666678,-71
2021-08-30 15:15:35,4,52666678,-71
2021-08-30 15:15:51,4,52666678,-71
2021-08-30 15:16:09,4,52666678,-71
2021-08-30 15:16:40,4,52666678,-71
2021-08-30 15:19:14,4,52666678,-71
2021-08-30 15:19:27,4,52666678,-71
2021-08-30 15:20:03,4,52666678,-71
2021-08-30 15:20:09,4,52666678,-71
2021-08-30 15:21:54,4,52666678,-71
2021-08-30 15:22:58,4,52666678,-71
2021-08-30 15:24:21,4,52666678,-71
2021-08-30 15:25:53,4,52666678,-71
2021-08-30 15:27:35,4,52666678,-71
2021-08-30 15:29:17,4,52666678,-71
2021-08-30 15:29:54,4,52666678,-71
2021-08-30 15:30:50,4,52666678,-71
2021-08-30 15:30:51,4,52666678,-71
2021-08-30 15:30:52,4,52666678,-71
2021-08-30 15:31:12,4,52666678,-71
2021-08-30 15:47:33,4,52666678,-71
2021-08-30 16:13:45,4,52666678,-71
2021-08-30 16:37:10,4,52666678,-71
2021-08-30 16:40:40,1,52666678,-71
2021-08-30 16:42:38,4,52666678,-71
2021-08-30 16:42:52,4,52666678,-71
2021-08-30 16:44:14,4,52666678,-71
2021-08-30 16:48:56,4,52666678,-71
2021-08-30 14:23:01,4,52666678,-72
2021-08-30 14:23:26,4,52666678,-72
2021-08-30 14:23:44,4,52666678,-72
2021-08-30 14:23:45,4,52666678,-72
2021-08-30 14:24:59,4,52666678,-72
2021-08-30 14:25:56,4,52666678,-72
2021-08-30 14:27:33,4,52666678,-72
2021-08-30 14:28:39,4,52666678,-72
2021-08-30 14:28:44,4,52666678,-72
2021-08-30 14:29:12,4,52666678,-72
2021-08-30 14:29:24,4,52666678,-72
2021-08-30 14:30:31,4,52666678,-72
2021-08-30 14:35:12,4,52666678,-72
2021-08-30 14:35:21,4,52666678,-72
2021-08-30 14:39:04,2,52666678,-72
2021-08-30 14:41:05,4,52666678,-72
2021-08-30 14:41:18,4,52666678,-72
2021-08-30 14:42:31,4,52666678,-72
2021-08-30 14:42:58,4,52666678,-72
2021-08-30 14:43:05,4,52666678,-72
2021-08-30 14:43:11,1,52666678,-72
2021-08-30 14:44:46,2,52666678,-72
2021-08-30 14:45:25,4,52666678,-72
2021-08-30 14:45:32,4,52666678,-72
2021-08-30 14:46:06,4,52666678,-72
2021-08-30 14:46:39,4,52666678,-72
2021-08-30 14:46:56,4,52666678,-72
2021-08-30 14:47:21,1,52666678,-72
2021-08-30 14:47:36,4,52666678,-72
2021-08-30 14:48:19,4,52666678,-72
2021-08-30 14:48:24,4,52666678,-72
2021-08-30 14:48:55,4,52666678,-72
2021-08-30 14:48:58,4,52666678,-72
2021-08-30 14:49:04,4,52666678,-72
2021-08-30 14:49:28,4,52666678,-72
2021-08-30 14:49:33,4,52666678,-72
2021-08-30 14:50:28,4,52666678,-72
2021-08-30 14:50:40,4,52666678,-72
2021-08-30 14:50:51,4,52666678,-72
2021-08-30 14:50:55,2,52666678,-72
2021-08-30 14:50:59,4,52666678,-72
2021-08-30 14:51:43,4,52666678,-72
2021-08-30 14:53:57,4,52666678,-72
2021-08-30 14:53:59,4,52666678,-72
2021-08-30 14:54:49,4,52666678,-72
2021-08-30 14:55:28,4,52666678,-72
2021-08-30 14:55:29,4,52666678,-72
2021-08-30 14:55:30,2,52666678,-72
2021-08-30 14:55:51,4,52666678,-72
2021-08-30 14:56:00,4,52666678,-72
2021-08-30 14:56:01,4,52666678,-72
2021-08-30 14:56:02,4,52666678,-72
2021-08-30 14:56:18,4,52666678,-72
2021-08-30 14:56:53,4,52666678,-72
2021-08-30 14:56:59,4,52666678,-72
2021-08-30 14:57:17,4,52666678,-72
2021-08-30 14:57:22,4,52666678,-72
2021-08-30 14:57:33,4,52666678,-72
2021-08-30 14:57:55,4,52666678,-72
2021-08-30 14:57:56,4,52666678,-72
2021-08-30 14:58:06,4,52666678,-72
2021-08-30 14:58:43,4,52666678,-72
2021-08-30 14:58:44,4,52666678,-72
2021-08-30 14:58:59,4,52666678,-72
2021-08-30 14:59:16,4,52666678,-72
2021-08-30 14:59:21,4,52666678,-72
2021-08-30 14:59:53,4,52666678,-72
2021-08-30 15:00:00,4,52666678,-72
2021-08-30 15:00:08,4,52666678,-72
